Date,Nation,Metric,Deaths
11/02/2020,Northern Ireland,CumDeathsByDate,
11/02/2020,Scotland,CumDeathsByDate,
11/02/2020,Wales,CumDeathsByDate,
12/02/2020,Wales,CumDeathsByDate,
12/02/2020,Northern Ireland,CumDeathsByDate,
12/02/2020,Scotland,CumDeathsByDate,
13/02/2020,Scotland,CumDeathsByDate,
13/02/2020,Wales,CumDeathsByDate,
13/02/2020,Northern Ireland,CumDeathsByDate,
14/02/2020,Northern Ireland,CumDeathsByDate,
14/02/2020,Scotland,CumDeathsByDate,
14/02/2020,Wales,CumDeathsByDate,
15/02/2020,Wales,CumDeathsByDate,
15/02/2020,Northern Ireland,CumDeathsByDate,
15/02/2020,Scotland,CumDeathsByDate,
16/02/2020,Scotland,CumDeathsByDate,
16/02/2020,Wales,CumDeathsByDate,
16/02/2020,Northern Ireland,CumDeathsByDate,
17/02/2020,Northern Ireland,CumDeathsByDate,
17/02/2020,Scotland,CumDeathsByDate,
17/02/2020,Wales,CumDeathsByDate,
18/02/2020,Wales,CumDeathsByDate,
18/02/2020,Northern Ireland,CumDeathsByDate,
18/02/2020,Scotland,CumDeathsByDate,
19/02/2020,Scotland,CumDeathsByDate,
19/02/2020,Wales,CumDeathsByDate,
19/02/2020,England,CumDeathsByDate,1
19/02/2020,Northern Ireland,CumDeathsByDate,
20/02/2020,Northern Ireland,CumDeathsByDate,
20/02/2020,Scotland,CumDeathsByDate,
20/02/2020,Wales,CumDeathsByDate,
20/02/2020,England,CumDeathsByDate,1
21/02/2020,England,CumDeathsByDate,1
21/02/2020,Wales,CumDeathsByDate,
21/02/2020,Northern Ireland,CumDeathsByDate,
21/02/2020,Scotland,CumDeathsByDate,
22/02/2020,Scotland,CumDeathsByDate,
22/02/2020,England,CumDeathsByDate,1
22/02/2020,Wales,CumDeathsByDate,
22/02/2020,Northern Ireland,CumDeathsByDate,
23/02/2020,Northern Ireland,CumDeathsByDate,
23/02/2020,Scotland,CumDeathsByDate,
23/02/2020,Wales,CumDeathsByDate,
23/02/2020,England,CumDeathsByDate,1
24/02/2020,England,CumDeathsByDate,1
24/02/2020,Wales,CumDeathsByDate,
24/02/2020,Northern Ireland,CumDeathsByDate,
24/02/2020,Scotland,CumDeathsByDate,
25/02/2020,Scotland,CumDeathsByDate,
25/02/2020,Wales,CumDeathsByDate,
