Date,Nation,Metric,Cases
01/04/2020,Northern Ireland,CasesByDate,103
01/04/2020,Scotland,CasesByDate,317
01/04/2020,Wales,CasesByDate,274
02/04/2020,Wales,CasesByDate,284
02/04/2020,England,CasesByDate,3583
02/04/2020,Northern Ireland,CasesByDate,85
02/04/2020,Scotland,CasesByDate,292
03/04/2020,Northern Ireland,CasesByDate,130
03/04/2020,Scotland,CasesByDate,399
03/04/2020,Wales,CasesByDate,345
03/04/2020,England,CasesByDate,3576
04/04/2020,England,CasesByDate,2910
04/04/2020,Scotland,CasesByDate,344
04/04/2020,Northern Ireland,CasesByDate,94
04/04/2020,Wales,CasesByDate,387
05/04/2020,Wales,CasesByDate,344
05/04/2020,England,CasesByDate,5107
05/04/2020,Scotland,CasesByDate,361
05/04/2020,Northern Ireland,CasesByDate,91
06/04/2020,Northern Ireland,CasesByDate,69
06/04/2020,Scotland,CasesByDate,255
06/04/2020,Wales,CasesByDate,302
06/04/2020,England,CasesByDate,3176
07/04/2020,England,CasesByDate,2978
07/04/2020,Scotland,CasesByDate,268
07/04/2020,Northern Ireland,CasesByDate,97
07/04/2020,Wales,CasesByDate,291
08/04/2020,Wales,CasesByDate,283
08/04/2020,England,CasesByDate,4788
08/04/2020,Northern Ireland,CasesByDate,84
08/04/2020,Scotland,CasesByDate,336
09/04/2020,Scotland,CasesByDate,392
09/04/2020,Northern Ireland,CasesByDate,138
09/04/2020,Wales,CasesByDate,16
09/04/2020,England,CasesByDate,3798
10/04/2020,England,CasesByDate,4263
10/04/2020,Northern Ireland,CasesByDate,112
10/04/2020,Scotland,CasesByDate,318
10/04/2020,Wales,CasesByDate,502
11/04/2020,Wales,CasesByDate,340
11/04/2020,England,CasesByDate,3841
11/04/2020,Scotland,CasesByDate,315
11/04/2020,Northern Ireland,CasesByDate,128
12/04/2020,Scotland,CasesByDate,322
12/04/2020,Northern Ireland,CasesByDate,89
12/04/2020,Wales,CasesByDate,367
12/04/2020,England,CasesByDate,3672
13/04/2020,England,CasesByDate,2999
13/04/2020,Northern Ireland,CasesByDate,76
13/04/2020,Scotland,CasesByDate,155
13/04/2020,Wales,CasesByDate,313
14/04/2020,Wales,CasesByDate,238
14/04/2020,England,CasesByDate,3854
14/04/2020,Scotland,CasesByDate,291
14/04/2020,Northern Ireland,CasesByDate,85
15/04/2020,Scotland,CasesByDate,390
15/04/2020,Northern Ireland,CasesByDate,121
15/04/2020,Wales,CasesByDate,272
15/04/2020,England,CasesByDate,3188
16/04/2020,England,CasesByDate,3118
16/04/2020,Northern Ireland,CasesByDate,113
16/04/2020,Scotland,CasesByDate,354
16/04/2020,Wales,CasesByDate,284
17/04/2020,Wales,CasesByDate,244
17/04/2020,England,CasesByDate,3985
17/04/2020,Northern Ireland,CasesByDate,137
17/04/2020,Scotland,CasesByDate,307
18/04/2020,Northern Ireland,CasesByDate,148
18/04/2020,Scotland,CasesByDate,411
18/04/2020,Wales,CasesByDate,292
18/04/2020,England,CasesByDate,3548
19/04/2020,England,CasesByDate,3607
19/04/2020,Northern Ireland,CasesByDate,159
19/04/2020,Scotland,CasesByDate,367
19/04/2020,Wales,CasesByDate,334
20/04/2020,Wales,CasesByDate,276
20/04/2020,England,CasesByDate,2401
20/04/2020,Scotland,CasesByDate,263
20/04/2020,Northern Ireland,CasesByDate,83
21/04/2020,Scotland,CasesByDate,222
21/04/2020,Northern Ireland,CasesByDate,30
21/04/2020,Wales,CasesByDate,304
21/04/2020,England,CasesByDate,3087
22/04/2020,England,CasesByDate,3020
22/04/2020,Northern Ireland,CasesByDate,116
22/04/2020,Scotland,CasesByDate,366
22/04/2020,Wales,CasesByDate,274
23/04/2020,Wales,CasesByDate,234
23/04/2020,England,CasesByDate,3084
23/04/2020,Scotland,CasesByDate,371
23/04/2020,Northern Ireland,CasesByDate,142
24/04/2020,Northern Ireland,CasesByDate,106
24/04/2020,Scotland,CasesByDate,288
24/04/2020,Wales,CasesByDate,243
24/04/2020,England,CasesByDate,3004
25/04/2020,England,CasesByDate,2826
25/04/2020,Scotland,CasesByDate,354
25/04/2020,Northern Ireland,CasesByDate,104
25/04/2020,Wales,CasesByDate,299
26/04/2020,Wales,CasesByDate,178
26/04/2020,England,CasesByDate,2152
26/04/2020,Northern Ireland,CasesByDate,82
26/04/2020,Scotland,CasesByDate,273
27/04/2020,Scotland,CasesByDate,197
27/04/2020,Northern Ireland,CasesByDate,66
27/04/2020,Wales,CasesByDate,203
27/04/2020,England,CasesByDate,2264
28/04/2020,England,CasesByDate,1989
28/04/2020,Scotland,CasesByDate,200
28/04/2020,Northern Ireland,CasesByDate,34
28/04/2020,Wales,CasesByDate,232
29/04/2020,Wales,CasesByDate,117
29/04/2020,England,CasesByDate,1403
29/04/2020,Scotland,CasesByDate,313
29/04/2020,Northern Ireland,CasesByDate,55
30/04/2020,Scotland,CasesByDate,319
30/04/2020,Northern Ireland,CasesByDate,73
30/04/2020,Wales,CasesByDate,183
30/04/2020,England,CasesByDate,2484
01/05/2020,England,CasesByDate,2501
01/05/2020,Northern Ireland,CasesByDate,87
01/05/2020,Scotland,CasesByDate,301
01/05/2020,Wales,CasesByDate,160
02/05/2020,Wales,CasesByDate,183
02/05/2020,England,CasesByDate,2228
02/05/2020,Scotland,CasesByDate,273
02/05/2020,Northern Ireland,CasesByDate,66
03/05/2020,Northern Ireland,CasesByDate,78
03/05/2020,Scotland,CasesByDate,170
03/05/2020,Wales,CasesByDate,174
03/05/2020,England,CasesByDate,2019
04/05/2020,England,CasesByDate,1485
04/05/2020,Scotland,CasesByDate,169
04/05/2020,Northern Ireland,CasesByDate,69
04/05/2020,Wales,CasesByDate,195
05/05/2020,Wales,CasesByDate,145
05/05/2020,England,CasesByDate,1842
05/05/2020,Northern Ireland,CasesByDate,45
05/05/2020,Scotland,CasesByDate,171
06/05/2020,Northern Ireland,CasesByDate,53
06/05/2020,Scotland,CasesByDate,272
06/05/2020,Wales,CasesByDate,95
06/05/2020,England,CasesByDate,1611
07/05/2020,England,CasesByDate,2133
07/05/2020,Scotland,CasesByDate,215
07/05/2020,Northern Ireland,CasesByDate,50
07/05/2020,Wales,CasesByDate,87
08/05/2020,Wales,CasesByDate,152
08/05/2020,England,CasesByDate,1694
08/05/2020,Northern Ireland,CasesByDate,38
08/05/2020,Scotland,CasesByDate,225
09/05/2020,Northern Ireland,CasesByDate,56
09/05/2020,Scotland,CasesByDate,156
09/05/2020,Wales,CasesByDate,118
09/05/2020,England,CasesByDate,1349
10/05/2020,England,CasesByDate,1007
10/05/2020,Scotland,CasesByDate,181
10/05/2020,Northern Ireland,CasesByDate,41
10/05/2020,Wales,CasesByDate,223
11/05/2020,Wales,CasesByDate,124
11/05/2020,England,CasesByDate,891
11/05/2020,Scotland,CasesByDate,141
11/05/2020,Northern Ireland,CasesByDate,30
12/05/2020,Scotland,CasesByDate,136
12/05/2020,Northern Ireland,CasesByDate,44
12/05/2020,Wales,CasesByDate,105
12/05/2020,England,CasesByDate,1067
13/05/2020,England,CasesByDate,1146
13/05/2020,Northern Ireland,CasesByDate,60
13/05/2020,Scotland,CasesByDate,166
13/05/2020,Wales,CasesByDate,133
14/05/2020,Wales,CasesByDate,128
14/05/2020,England,CasesByDate,1189
14/05/2020,Northern Ireland,CasesByDate,38
14/05/2020,Scotland,CasesByDate,188
15/05/2020,Northern Ireland,CasesByDate,26
15/05/2020,Scotland,CasesByDate,143
15/05/2020,Wales,CasesByDate,126
15/05/2020,England,CasesByDate,1112
16/05/2020,England,CasesByDate,1136
16/05/2020,Northern Ireland,CasesByDate,40
16/05/2020,Scotland,CasesByDate,187
16/05/2020,Wales,CasesByDate,183
17/05/2020,Wales,CasesByDate,162
17/05/2020,England,CasesByDate,788
17/05/2020,Northern Ireland,CasesByDate,28
17/05/2020,Scotland,CasesByDate,90
18/05/2020,Northern Ireland,CasesByDate,16
18/05/2020,Scotland,CasesByDate,57
18/05/2020,Wales,CasesByDate,101
18/05/2020,England,CasesByDate,816
19/05/2020,England,CasesByDate,857
19/05/2020,Scotland,CasesByDate,61
19/05/2020,Northern Ireland,CasesByDate,20
19/05/2020,Wales,CasesByDate,166
20/05/2020,Wales,CasesByDate,110
20/05/2020,England,CasesByDate,824
20/05/2020,Northern Ireland,CasesByDate,18
20/05/2020,Scotland,CasesByDate,96
21/05/2020,Scotland,CasesByDate,105
21/05/2020,Northern Ireland,CasesByDate,42
21/05/2020,Wales,CasesByDate,166
21/05/2020,England,CasesByDate,854
22/05/2020,England,CasesByDate,1083
22/05/2020,Northern Ireland,CasesByDate,23
22/05/2020,Scotland,CasesByDate,113
22/05/2020,Wales,CasesByDate,138
23/05/2020,Wales,CasesByDate,185
23/05/2020,England,CasesByDate,979
23/05/2020,Scotland,CasesByDate,72
23/05/2020,Northern Ireland,CasesByDate,41
24/05/2020,Northern Ireland,CasesByDate,25
24/05/2020,Scotland,CasesByDate,60
24/05/2020,Wales,CasesByDate,140
24/05/2020,England,CasesByDate,584
25/05/2020,England,CasesByDate,494
25/05/2020,Northern Ireland,CasesByDate,39
25/05/2020,Scotland,CasesByDate,55
25/05/2020,Wales,CasesByDate,106
26/05/2020,Wales,CasesByDate,141
26/05/2020,England,CasesByDate,492
26/05/2020,Scotland,CasesByDate,29
26/05/2020,Northern Ireland,CasesByDate,28
27/05/2020,Scotland,CasesByDate,55
27/05/2020,Northern Ireland,CasesByDate,26
27/05/2020,Wales,CasesByDate,97
27/05/2020,England,CasesByDate,609
28/05/2020,England,CasesByDate,519
28/05/2020,Scotland,CasesByDate,48
28/05/2020,Northern Ireland,CasesByDate,16
28/05/2020,Wales,CasesByDate,72
29/05/2020,Wales,CasesByDate,102
29/05/2020,England,CasesByDate,560
29/05/2020,Scotland,CasesByDate,39
29/05/2020,Northern Ireland,CasesByDate,17
30/05/2020,Scotland,CasesByDate,55
30/05/2020,Northern Ireland,CasesByDate,13
30/05/2020,Wales,CasesByDate,86
30/05/2020,England,CasesByDate,715
31/05/2020,England,CasesByDate,320
31/05/2020,Northern Ireland,CasesByDate,7
31/05/2020,Scotland,CasesByDate,18
31/05/2020,Wales,CasesByDate,82
01/06/2020,Wales,CasesByDate,59
01/06/2020,England,CasesByDate,294
01/06/2020,Scotland,CasesByDate,18
01/06/2020,Northern Ireland,CasesByDate,12
02/06/2020,Scotland,CasesByDate,53
02/06/2020,Northern Ireland,CasesByDate,4
02/06/2020,Wales,CasesByDate,67
02/06/2020,England,CasesByDate,444
03/06/2020,England,CasesByDate,462
03/06/2020,Northern Ireland,CasesByDate,8
03/06/2020,Scotland,CasesByDate,33
03/06/2020,Wales,CasesByDate,82
04/06/2020,Wales,CasesByDate,35
04/06/2020,England,CasesByDate,431
04/06/2020,Northern Ireland,CasesByDate,33
04/06/2020,Scotland,CasesByDate,49
05/06/2020,Northern Ireland,CasesByDate,3
05/06/2020,Scotland,CasesByDate,29
05/06/2020,Wales,CasesByDate,76
05/06/2020,England,CasesByDate,451
06/06/2020,England,CasesByDate,422
06/06/2020,Northern Ireland,CasesByDate,14
06/06/2020,Scotland,CasesByDate,21
06/06/2020,Wales,CasesByDate,42
07/06/2020,Wales,CasesByDate,40
07/06/2020,England,CasesByDate,228
07/06/2020,Scotland,CasesByDate,18
07/06/2020,Northern Ireland,CasesByDate,6
08/06/2020,Scotland,CasesByDate,18
