Date,Nation,Metric,Cases
24/03/2020,Wales,CumCasesByDate,478
24/03/2020,Northern Ireland,CumCasesByDate,172
24/03/2020,England,CumCasesByDate,6843
25/03/2020,England,CumCasesByDate,7973
25/03/2020,Wales,CumCasesByDate,628
25/03/2020,Northern Ireland,CumCasesByDate,209
25/03/2020,Scotland,CumCasesByDate,719
26/03/2020,Northern Ireland,CumCasesByDate,241
26/03/2020,Wales,CumCasesByDate,741
26/03/2020,Scotland,CumCasesByDate,894
26/03/2020,England,CumCasesByDate,9782
27/03/2020,England,CumCasesByDate,12288
27/03/2020,Northern Ireland,CumCasesByDate,275
27/03/2020,Scotland,CumCasesByDate,1059
27/03/2020,Wales,CumCasesByDate,921
28/03/2020,Wales,CumCasesByDate,1093
28/03/2020,Northern Ireland,CumCasesByDate,324
28/03/2020,Scotland,CumCasesByDate,1245
28/03/2020,England,CumCasesByDate,14427
29/03/2020,England,CumCasesByDate,16487
29/03/2020,Northern Ireland,CumCasesByDate,410
29/03/2020,Scotland,CumCasesByDate,1384
29/03/2020,Wales,CumCasesByDate,1241
30/03/2020,Wales,CumCasesByDate,1451
30/03/2020,Scotland,CumCasesByDate,1563
30/03/2020,Northern Ireland,CumCasesByDate,533
30/03/2020,England,CumCasesByDate,18594
31/03/2020,England,CumCasesByDate,21008
31/03/2020,Wales,CumCasesByDate,1563
31/03/2020,Northern Ireland,CumCasesByDate,586
31/03/2020,Scotland,CumCasesByDate,1993
01/04/2020,Wales,CumCasesByDate,1837
01/04/2020,Scotland,CumCasesByDate,2310
01/04/2020,Northern Ireland,CumCasesByDate,689
01/04/2020,England,CumCasesByDate,24638
02/04/2020,England,CumCasesByDate,28221
02/04/2020,Northern Ireland,CumCasesByDate,774
02/04/2020,Wales,CumCasesByDate,2121
02/04/2020,Scotland,CumCasesByDate,2602
03/04/2020,Wales,CumCasesByDate,2466
03/04/2020,Northern Ireland,CumCasesByDate,904
03/04/2020,Scotland,CumCasesByDate,3001
03/04/2020,England,CumCasesByDate,31797
04/04/2020,England,CumCasesByDate,34707
04/04/2020,Scotland,CumCasesByDate,3345
04/04/2020,Wales,CumCasesByDate,2853
04/04/2020,Northern Ireland,CumCasesByDate,998
05/04/2020,Scotland,CumCasesByDate,3706
05/04/2020,Wales,CumCasesByDate,3197
05/04/2020,Northern Ireland,CumCasesByDate,1089
05/04/2020,England,CumCasesByDate,39814
06/04/2020,England,CumCasesByDate,42990
06/04/2020,Northern Ireland,CumCasesByDate,1158
06/04/2020,Wales,CumCasesByDate,3499
06/04/2020,Scotland,CumCasesByDate,3961
07/04/2020,Scotland,CumCasesByDate,4229
07/04/2020,Wales,CumCasesByDate,3790
07/04/2020,Northern Ireland,CumCasesByDate,1255
07/04/2020,England,CumCasesByDate,45968
08/04/2020,England,CumCasesByDate,50756
08/04/2020,Scotland,CumCasesByDate,4565
08/04/2020,Wales,CumCasesByDate,4073
08/04/2020,Northern Ireland,CumCasesByDate,1339
09/04/2020,Northern Ireland,CumCasesByDate,1477
09/04/2020,Wales,CumCasesByDate,4089
09/04/2020,Scotland,CumCasesByDate,4957
09/04/2020,England,CumCasesByDate,54554
10/04/2020,England,CumCasesByDate,58817
10/04/2020,Northern Ireland,CumCasesByDate,1589
10/04/2020,Wales,CumCasesByDate,4591
10/04/2020,Scotland,CumCasesByDate,5275
11/04/2020,Northern Ireland,CumCasesByDate,1717
11/04/2020,Wales,CumCasesByDate,4930
11/04/2020,Scotland,CumCasesByDate,5590
11/04/2020,England,CumCasesByDate,62658
12/04/2020,England,CumCasesByDate,66330
12/04/2020,Northern Ireland,CumCasesByDate,1806
12/04/2020,Scotland,CumCasesByDate,5912
12/04/2020,Wales,CumCasesByDate,5297
13/04/2020,Wales,CumCasesByDate,5610
13/04/2020,Northern Ireland,CumCasesByDate,1882
13/04/2020,Scotland,CumCasesByDate,6067
13/04/2020,England,CumCasesByDate,69329
14/04/2020,England,CumCasesByDate,73183
14/04/2020,Northern Ireland,CumCasesByDate,1967
14/04/2020,Scotland,CumCasesByDate,6358
14/04/2020,Wales,CumCasesByDate,5848
15/04/2020,Northern Ireland,CumCasesByDate,2088
15/04/2020,Wales,CumCasesByDate,6118
15/04/2020,Scotland,CumCasesByDate,6748
15/04/2020,England,CumCasesByDate,76371
16/04/2020,England,CumCasesByDate,79489
16/04/2020,Northern Ireland,CumCasesByDate,2201
16/04/2020,Scotland,CumCasesByDate,7102
16/04/2020,Wales,CumCasesByDate,6401
17/04/2020,Wales,CumCasesByDate,6645
17/04/2020,Scotland,CumCasesByDate,7409
17/04/2020,Northern Ireland,CumCasesByDate,2338
17/04/2020,England,CumCasesByDate,83474
18/04/2020,England,CumCasesByDate,87022
18/04/2020,Scotland,CumCasesByDate,7820
18/04/2020,Northern Ireland,CumCasesByDate,2486
18/04/2020,Wales,CumCasesByDate,6936
19/04/2020,Wales,CumCasesByDate,7270
19/04/2020,Northern Ireland,CumCasesByDate,2645
19/04/2020,Scotland,CumCasesByDate,8187
19/04/2020,England,CumCasesByDate,90629
20/04/2020,England,CumCasesByDate,93030
20/04/2020,Wales,CumCasesByDate,7546
20/04/2020,Scotland,CumCasesByDate,8450
20/04/2020,Northern Ireland,CumCasesByDate,2728
21/04/2020,Northern Ireland,CumCasesByDate,2758
21/04/2020,Wales,CumCasesByDate,7850
21/04/2020,Scotland,CumCasesByDate,8672
21/04/2020,England,CumCasesByDate,96117
22/04/2020,England,CumCasesByDate,99137
22/04/2020,Scotland,CumCasesByDate,9038
22/04/2020,Northern Ireland,CumCasesByDate,2874
22/04/2020,Wales,CumCasesByDate,8124
23/04/2020,Scotland,CumCasesByDate,9409
23/04/2020,Northern Ireland,CumCasesByDate,3016
23/04/2020,Wales,CumCasesByDate,8358
23/04/2020,England,CumCasesByDate,102221
24/04/2020,England,CumCasesByDate,105225
24/04/2020,Scotland,CumCasesByDate,9697
24/04/2020,Northern Ireland,CumCasesByDate,3122
24/04/2020,Wales,CumCasesByDate,8601
25/04/2020,Wales,CumCasesByDate,8900
25/04/2020,Scotland,CumCasesByDate,10051
25/04/2020,Northern Ireland,CumCasesByDate,3226
25/04/2020,England,CumCasesByDate,108051
26/04/2020,England,CumCasesByDate,110203
26/04/2020,Scotland,CumCasesByDate,10324
26/04/2020,Northern Ireland,CumCasesByDate,3308
26/04/2020,Wales,CumCasesByDate,9078
27/04/2020,Scotland,CumCasesByDate,10521
27/04/2020,Wales,CumCasesByDate,9280
27/04/2020,Northern Ireland,CumCasesByDate,3374
27/04/2020,England,CumCasesByDate,112467
28/04/2020,England,CumCasesByDate,114456
28/04/2020,Scotland,CumCasesByDate,10721
28/04/2020,Northern Ireland,CumCasesByDate,3408
28/04/2020,Wales,CumCasesByDate,9512
29/04/2020,Scotland,CumCasesByDate,11034
29/04/2020,Northern Ireland,CumCasesByDate,3463
29/04/2020,Wales,CumCasesByDate,9629
29/04/2020,England,CumCasesByDate,115859
30/04/2020,England,CumCasesByDate,118343
30/04/2020,Wales,CumCasesByDate,9812
30/04/2020,Scotland,CumCasesByDate,11353
30/04/2020,Northern Ireland,CumCasesByDate,3536
01/05/2020,Scotland,CumCasesByDate,11654
01/05/2020,Wales,CumCasesByDate,9972
01/05/2020,Northern Ireland,CumCasesByDate,3623
01/05/2020,England,CumCasesByDate,121006
02/05/2020,England,CumCasesByDate,123234
02/05/2020,Scotland,CumCasesByDate,11927
02/05/2020,Wales,CumCasesByDate,10155
02/05/2020,Northern Ireland,CumCasesByDate,3689
03/05/2020,Wales,CumCasesByDate,10329
03/05/2020,Scotland,CumCasesByDate,12097
03/05/2020,Northern Ireland,CumCasesByDate,3767
03/05/2020,England,CumCasesByDate,125253
04/05/2020,England,CumCasesByDate,126738
04/05/2020,Northern Ireland,CumCasesByDate,3836
04/05/2020,Scotland,CumCasesByDate,12266
04/05/2020,Wales,CumCasesByDate,10524
05/05/2020,Scotland,CumCasesByDate,12437
05/05/2020,Northern Ireland,CumCasesByDate,3881
05/05/2020,Wales,CumCasesByDate,10669
05/05/2020,England,CumCasesByDate,128580
06/05/2020,England,CumCasesByDate,130191
06/05/2020,Scotland,CumCasesByDate,12709
06/05/2020,Wales,CumCasesByDate,10764
06/05/2020,Northern Ireland,CumCasesByDate,3934
07/05/2020,Wales,CumCasesByDate,10851
07/05/2020,Scotland,CumCasesByDate,12924
07/05/2020,Northern Ireland,CumCasesByDate,3984
07/05/2020,England,CumCasesByDate,132324
08/05/2020,England,CumCasesByDate,134018
08/05/2020,Scotland,CumCasesByDate,13149
08/05/2020,Northern Ireland,CumCasesByDate,4022
08/05/2020,Wales,CumCasesByDate,11003
09/05/2020,Wales,CumCasesByDate,11121
09/05/2020,Northern Ireland,CumCasesByDate,4078
09/05/2020,Scotland,CumCasesByDate,13305
09/05/2020,England,CumCasesByDate,135367
10/05/2020,England,CumCasesByDate,136374
10/05/2020,Wales,CumCasesByDate,11344
10/05/2020,Northern Ireland,CumCasesByDate,4119
10/05/2020,Scotland,CumCasesByDate,13486
11/05/2020,Wales,CumCasesByDate,11468
