Date,Nation,Metric,Vaccine
09/02/2021,Scotland,FullyVaccByDate,609
09/02/2021,Wales,FullyVaccByDate,196
09/02/2021,Northern Ireland,FullyVaccByDate,183
09/02/2021,England,FullyVaccByDate,2173
10/02/2021,Wales,FullyVaccByDate,108
10/02/2021,Northern Ireland,FullyVaccByDate,365
10/02/2021,England,FullyVaccByDate,4092
10/02/2021,Scotland,FullyVaccByDate,329
11/02/2021,Scotland,FullyVaccByDate,371
11/02/2021,Wales,FullyVaccByDate,215
11/02/2021,Northern Ireland,FullyVaccByDate,415
11/02/2021,England,FullyVaccByDate,4646
12/02/2021,England,FullyVaccByDate,3733
12/02/2021,Northern Ireland,FullyVaccByDate,385
12/02/2021,Wales,FullyVaccByDate,214
12/02/2021,Scotland,FullyVaccByDate,443
13/02/2021,Scotland,FullyVaccByDate,272
13/02/2021,Northern Ireland,FullyVaccByDate,39
13/02/2021,England,FullyVaccByDate,2186
13/02/2021,Wales,FullyVaccByDate,349
14/02/2021,Wales,FullyVaccByDate,829
14/02/2021,England,FullyVaccByDate,837
14/02/2021,Northern Ireland,FullyVaccByDate,29
14/02/2021,Scotland,FullyVaccByDate,220
15/02/2021,Scotland,FullyVaccByDate,2636
15/02/2021,England,FullyVaccByDate,1854
15/02/2021,Wales,FullyVaccByDate,1849
15/02/2021,Northern Ireland,FullyVaccByDate,196
16/02/2021,Wales,FullyVaccByDate,5737
16/02/2021,Northern Ireland,FullyVaccByDate,275
16/02/2021,England,FullyVaccByDate,3128
16/02/2021,Scotland,FullyVaccByDate,3272
17/02/2021,Scotland,FullyVaccByDate,3760
17/02/2021,England,FullyVaccByDate,4497
17/02/2021,Wales,FullyVaccByDate,6354
17/02/2021,Northern Ireland,FullyVaccByDate,536
18/02/2021,England,FullyVaccByDate,4561
18/02/2021,Northern Ireland,FullyVaccByDate,369
18/02/2021,Wales,FullyVaccByDate,6091
18/02/2021,Scotland,FullyVaccByDate,4846
19/02/2021,Scotland,FullyVaccByDate,4458
19/02/2021,Wales,FullyVaccByDate,6569
19/02/2021,Northern Ireland,FullyVaccByDate,372
19/02/2021,England,FullyVaccByDate,3895
20/02/2021,England,FullyVaccByDate,2432
20/02/2021,Northern Ireland,FullyVaccByDate,54
20/02/2021,Wales,FullyVaccByDate,5771
20/02/2021,Scotland,FullyVaccByDate,2006
21/02/2021,Scotland,FullyVaccByDate,1863
21/02/2021,England,FullyVaccByDate,2346
21/02/2021,Wales,FullyVaccByDate,4979
21/02/2021,Northern Ireland,FullyVaccByDate,0
22/02/2021,Wales,FullyVaccByDate,6977
22/02/2021,England,FullyVaccByDate,5344
22/02/2021,Northern Ireland,FullyVaccByDate,281
22/02/2021,Scotland,FullyVaccByDate,5861
23/02/2021,Scotland,FullyVaccByDate,6918
23/02/2021,England,FullyVaccByDate,9581
23/02/2021,Northern Ireland,FullyVaccByDate,268
23/02/2021,Wales,FullyVaccByDate,9550
24/02/2021,Wales,FullyVaccByDate,10572
24/02/2021,Northern Ireland,FullyVaccByDate,292
24/02/2021,England,FullyVaccByDate,14209
24/02/2021,Scotland,FullyVaccByDate,6540
25/02/2021,Scotland,FullyVaccByDate,8679
25/02/2021,England,FullyVaccByDate,16168
25/02/2021,Northern Ireland,FullyVaccByDate,261
25/02/2021,Wales,FullyVaccByDate,10211
26/02/2021,England,FullyVaccByDate,16226
26/02/2021,Northern Ireland,FullyVaccByDate,718
26/02/2021,Wales,FullyVaccByDate,8991
26/02/2021,Scotland,FullyVaccByDate,6838
27/02/2021,Scotland,FullyVaccByDate,4334
27/02/2021,England,FullyVaccByDate,15584
27/02/2021,Wales,FullyVaccByDate,7355
27/02/2021,Northern Ireland,FullyVaccByDate,49
28/02/2021,Northern Ireland,FullyVaccByDate,532
28/02/2021,Wales,FullyVaccByDate,7411
28/02/2021,England,FullyVaccByDate,9388
28/02/2021,Scotland,FullyVaccByDate,2353
01/03/2021,Scotland,FullyVaccByDate,5580
01/03/2021,England,FullyVaccByDate,12632
01/03/2021,Northern Ireland,FullyVaccByDate,2173
01/03/2021,Wales,FullyVaccByDate,7897
02/03/2021,England,FullyVaccByDate,27652
02/03/2021,Wales,FullyVaccByDate,13065
02/03/2021,Northern Ireland,FullyVaccByDate,2492
02/03/2021,Scotland,FullyVaccByDate,8105
03/03/2021,Scotland,FullyVaccByDate,7508
03/03/2021,Wales,FullyVaccByDate,14664
03/03/2021,Northern Ireland,FullyVaccByDate,2277
03/03/2021,England,FullyVaccByDate,44001
04/03/2021,Wales,FullyVaccByDate,15374
04/03/2021,Northern Ireland,FullyVaccByDate,1648
04/03/2021,England,FullyVaccByDate,45045
04/03/2021,Scotland,FullyVaccByDate,8139
05/03/2021,Scotland,FullyVaccByDate,5884
05/03/2021,Wales,FullyVaccByDate,13344
05/03/2021,England,FullyVaccByDate,37235
05/03/2021,Northern Ireland,FullyVaccByDate,309
06/03/2021,Wales,FullyVaccByDate,7891
06/03/2021,Northern Ireland,FullyVaccByDate,134
06/03/2021,England,FullyVaccByDate,21688
06/03/2021,Scotland,FullyVaccByDate,1849
07/03/2021,Scotland,FullyVaccByDate,2802
07/03/2021,England,FullyVaccByDate,9133
07/03/2021,Northern Ireland,FullyVaccByDate,621
07/03/2021,Wales,FullyVaccByDate,7685
08/03/2021,Wales,FullyVaccByDate,8291
08/03/2021,Northern Ireland,FullyVaccByDate,1743
08/03/2021,England,FullyVaccByDate,23800
08/03/2021,Scotland,FullyVaccByDate,4954
09/03/2021,Scotland,FullyVaccByDate,9074
09/03/2021,Wales,FullyVaccByDate,14364
09/03/2021,Northern Ireland,FullyVaccByDate,2333
09/03/2021,England,FullyVaccByDate,47151
10/03/2021,Northern Ireland,FullyVaccByDate,2021
10/03/2021,England,FullyVaccByDate,70960
10/03/2021,Wales,FullyVaccByDate,15508
10/03/2021,Scotland,FullyVaccByDate,8673
11/03/2021,Scotland,FullyVaccByDate,7976
11/03/2021,Wales,FullyVaccByDate,15455
11/03/2021,Northern Ireland,FullyVaccByDate,452
11/03/2021,England,FullyVaccByDate,69680
12/03/2021,England,FullyVaccByDate,67514
12/03/2021,Wales,FullyVaccByDate,12669
12/03/2021,Northern Ireland,FullyVaccByDate,652
12/03/2021,Scotland,FullyVaccByDate,6841
13/03/2021,Scotland,FullyVaccByDate,3788
13/03/2021,England,FullyVaccByDate,38640
13/03/2021,Northern Ireland,FullyVaccByDate,2355
13/03/2021,Wales,FullyVaccByDate,7372
14/03/2021,Northern Ireland,FullyVaccByDate,2229
14/03/2021,England,FullyVaccByDate,14378
14/03/2021,Wales,FullyVaccByDate,6857
14/03/2021,Scotland,FullyVaccByDate,1907
15/03/2021,Scotland,FullyVaccByDate,8947
15/03/2021,England,FullyVaccByDate,32082
15/03/2021,Northern Ireland,FullyVaccByDate,3609
15/03/2021,Wales,FullyVaccByDate,8728
16/03/2021,Wales,FullyVaccByDate,16202
16/03/2021,Northern Ireland,FullyVaccByDate,5701
16/03/2021,England,FullyVaccByDate,62909
16/03/2021,Scotland,FullyVaccByDate,10987
17/03/2021,Scotland,FullyVaccByDate,10221
17/03/2021,Wales,FullyVaccByDate,15226
17/03/2021,Northern Ireland,FullyVaccByDate,3256
17/03/2021,England,FullyVaccByDate,90906
18/03/2021,Wales,FullyVaccByDate,14565
18/03/2021,England,FullyVaccByDate,104609
18/03/2021,Northern Ireland,FullyVaccByDate,3507
18/03/2021,Scotland,FullyVaccByDate,9335
19/03/2021,Scotland,FullyVaccByDate,9837
19/03/2021,Northern Ireland,FullyVaccByDate,4604
19/03/2021,Wales,FullyVaccByDate,10554
19/03/2021,England,FullyVaccByDate,100730
20/03/2021,Wales,FullyVaccByDate,9429
20/03/2021,Northern Ireland,FullyVaccByDate,3183
20/03/2021,England,FullyVaccByDate,70449
20/03/2021,Scotland,FullyVaccByDate,8916
21/03/2021,Scotland,FullyVaccByDate,4908
21/03/2021,Wales,FullyVaccByDate,7099
21/03/2021,England,FullyVaccByDate,30418
21/03/2021,Northern Ireland,FullyVaccByDate,10187
22/03/2021,Northern Ireland,FullyVaccByDate,
22/03/2021,England,FullyVaccByDate,64436
22/03/2021,Wales,FullyVaccByDate,7289
22/03/2021,Scotland,FullyVaccByDate,10575
23/03/2021,Scotland,FullyVaccByDate,13581
23/03/2021,Wales,FullyVaccByDate,13456
23/03/2021,Northern Ireland,FullyVaccByDate,7571
23/03/2021,England,FullyVaccByDate,134547
24/03/2021,Wales,FullyVaccByDate,11992
24/03/2021,Northern Ireland,FullyVaccByDate,8653
24/03/2021,England,FullyVaccByDate,208013
24/03/2021,Scotland,FullyVaccByDate,13984
25/03/2021,Scotland,FullyVaccByDate,16578
25/03/2021,Northern Ireland,FullyVaccByDate,8730
25/03/2021,England,FullyVaccByDate,198206
25/03/2021,Wales,FullyVaccByDate,10868
26/03/2021,England,FullyVaccByDate,250962
26/03/2021,Northern Ireland,FullyVaccByDate,6712
26/03/2021,Wales,FullyVaccByDate,11080
26/03/2021,Scotland,FullyVaccByDate,14900
27/03/2021,Scotland,FullyVaccByDate,22503
27/03/2021,Northern Ireland,FullyVaccByDate,3103
27/03/2021,England,FullyVaccByDate,201335
27/03/2021,Wales,FullyVaccByDate,11920
28/03/2021,Wales,FullyVaccByDate,4199
28/03/2021,England,FullyVaccByDate,127078
28/03/2021,Northern Ireland,FullyVaccByDate,1565
28/03/2021,Scotland,FullyVaccByDate,14752
29/03/2021,Scotland,FullyVaccByDate,16666
29/03/2021,Northern Ireland,FullyVaccByDate,7005
29/03/2021,England,FullyVaccByDate,137405
29/03/2021,Wales,FullyVaccByDate,7154
30/03/2021,England,FullyVaccByDate,233828
30/03/2021,Northern Ireland,FullyVaccByDate,6464
30/03/2021,Wales,FullyVaccByDate,13921
30/03/2021,Scotland,FullyVaccByDate,23469
31/03/2021,Scotland,FullyVaccByDate,26958
31/03/2021,Northern Ireland,FullyVaccByDate,7267
31/03/2021,England,FullyVaccByDate,341748
31/03/2021,Wales,FullyVaccByDate,11601
01/04/2021,Wales,FullyVaccByDate,10239
01/04/2021,England,FullyVaccByDate,411998
01/04/2021,Northern Ireland,FullyVaccByDate,7701
01/04/2021,Scotland,FullyVaccByDate,15478
02/04/2021,Scotland,FullyVaccByDate,20401
02/04/2021,England,FullyVaccByDate,215754
02/04/2021,Northern Ireland,FullyVaccByDate,6808
02/04/2021,Wales,FullyVaccByDate,3668
03/04/2021,Northern Ireland,FullyVaccByDate,2221
03/04/2021,Wales,FullyVaccByDate,2673
03/04/2021,England,FullyVaccByDate,157903
03/04/2021,Scotland,FullyVaccByDate,16116
04/04/2021,Scotland,FullyVaccByDate,5317
04/04/2021,Wales,FullyVaccByDate,1565
04/04/2021,Northern Ireland,FullyVaccByDate,1335
04/04/2021,England,FullyVaccByDate,39491
05/04/2021,Wales,FullyVaccByDate,1568
05/04/2021,Northern Ireland,FullyVaccByDate,1556
05/04/2021,England,FullyVaccByDate,54060
05/04/2021,Scotland,FullyVaccByDate,7406
06/04/2021,Scotland,FullyVaccByDate,15459
06/04/2021,England,FullyVaccByDate,162466
06/04/2021,Northern Ireland,FullyVaccByDate,2549
06/04/2021,Wales,FullyVaccByDate,6319
07/04/2021,Northern Ireland,FullyVaccByDate,5849
07/04/2021,England,FullyVaccByDate,372241
07/04/2021,Wales,FullyVaccByDate,9169
07/04/2021,Scotland,FullyVaccByDate,21137
08/04/2021,Scotland,FullyVaccByDate,24436
08/04/2021,Wales,FullyVaccByDate,13579
08/04/2021,Northern Ireland,FullyVaccByDate,8042
08/04/2021,England,FullyVaccByDate,403212
09/04/2021,England,FullyVaccByDate,404206
09/04/2021,Northern Ireland,FullyVaccByDate,7883
09/04/2021,Scotland,FullyVaccByDate,26887
09/04/2021,Wales,FullyVaccByDate,11160
10/04/2021,Scotland,FullyVaccByDate,17176
10/04/2021,Wales,FullyVaccByDate,15699
10/04/2021,Northern Ireland,FullyVaccByDate,4913
10/04/2021,England,FullyVaccByDate,437442
11/04/2021,Northern Ireland,FullyVaccByDate,4890
11/04/2021,England,FullyVaccByDate,160454
11/04/2021,Wales,FullyVaccByDate,3022
11/04/2021,Scotland,FullyVaccByDate,21299
12/04/2021,Scotland,FullyVaccByDate,14952
12/04/2021,Wales,FullyVaccByDate,8996
12/04/2021,England,FullyVaccByDate,166273
12/04/2021,Northern Ireland,FullyVaccByDate,10970
13/04/2021,England,FullyVaccByDate,257732
13/04/2021,Northern Ireland,FullyVaccByDate,13659
13/04/2021,Wales,FullyVaccByDate,11998
13/04/2021,Scotland,FullyVaccByDate,29296
14/04/2021,Wales,FullyVaccByDate,10695
14/04/2021,Scotland,FullyVaccByDate,27553
14/04/2021,England,FullyVaccByDate,292383
14/04/2021,Northern Ireland,FullyVaccByDate,13152
15/04/2021,Northern Ireland,FullyVaccByDate,13193
15/04/2021,England,FullyVaccByDate,363002
15/04/2021,Scotland,FullyVaccByDate,26786
15/04/2021,Wales,FullyVaccByDate,14702
16/04/2021,Wales,FullyVaccByDate,14243
16/04/2021,Scotland,FullyVaccByDate,26953
16/04/2021,Northern Ireland,FullyVaccByDate,12443
16/04/2021,England,FullyVaccByDate,446025
17/04/2021,England,FullyVaccByDate,458880
17/04/2021,Northern Ireland,FullyVaccByDate,5424
17/04/2021,Scotland,FullyVaccByDate,22706
17/04/2021,Wales,FullyVaccByDate,12625
18/04/2021,Wales,FullyVaccByDate,1349
18/04/2021,Scotland,FullyVaccByDate,18695
18/04/2021,Northern Ireland,FullyVaccByDate,5278
18/04/2021,England,FullyVaccByDate,195871
19/04/2021,England,FullyVaccByDate,215665
19/04/2021,Northern Ireland,FullyVaccByDate,9859
19/04/2021,Wales,FullyVaccByDate,8075
19/04/2021,Scotland,FullyVaccByDate,40152
20/04/2021,Scotland,FullyVaccByDate,50388
20/04/2021,Wales,FullyVaccByDate,11631
20/04/2021,Northern Ireland,FullyVaccByDate,15079
20/04/2021,England,FullyVaccByDate,272929
21/04/2021,Northern Ireland,FullyVaccByDate,13293
21/04/2021,England,FullyVaccByDate,339773
21/04/2021,Wales,FullyVaccByDate,13142
21/04/2021,Scotland,FullyVaccByDate,50576
22/04/2021,Scotland,FullyVaccByDate,50997
22/04/2021,Wales,FullyVaccByDate,17882
22/04/2021,England,FullyVaccByDate,345675
22/04/2021,Northern Ireland,FullyVaccByDate,16516
23/04/2021,England,FullyVaccByDate,394144
23/04/2021,Northern Ireland,FullyVaccByDate,10043
23/04/2021,Scotland,FullyVaccByDate,43952
23/04/2021,Wales,FullyVaccByDate,16876
24/04/2021,Wales,FullyVaccByDate,16636
24/04/2021,Scotland,FullyVaccByDate,49206
24/04/2021,Northern Ireland,FullyVaccByDate,3786
24/04/2021,England,FullyVaccByDate,478008
25/04/2021,Northern Ireland,FullyVaccByDate,4839
25/04/2021,England,FullyVaccByDate,227159
25/04/2021,Wales,FullyVaccByDate,2485
25/04/2021,Scotland,FullyVaccByDate,26318
26/04/2021,Scotland,FullyVaccByDate,33986
26/04/2021,Wales,FullyVaccByDate,11565
26/04/2021,Northern Ireland,FullyVaccByDate,9369
26/04/2021,England,FullyVaccByDate,249768
27/04/2021,England,FullyVaccByDate,313616
27/04/2021,Northern Ireland,FullyVaccByDate,11066
27/04/2021,Scotland,FullyVaccByDate,40257
27/04/2021,Wales,FullyVaccByDate,14326
28/04/2021,Wales,FullyVaccByDate,17218
28/04/2021,Scotland,FullyVaccByDate,41682
28/04/2021,Northern Ireland,FullyVaccByDate,9833
28/04/2021,England,FullyVaccByDate,394152
29/04/2021,England,FullyVaccByDate,395043
29/04/2021,Northern Ireland,FullyVaccByDate,40235
29/04/2021,Scotland,FullyVaccByDate,40232
29/04/2021,Wales,FullyVaccByDate,16057
30/04/2021,Scotland,FullyVaccByDate,39001
30/04/2021,Wales,FullyVaccByDate,16329
30/04/2021,Northern Ireland,FullyVaccByDate,4697
30/04/2021,England,FullyVaccByDate,361758
01/05/2021,England,FullyVaccByDate,329170
01/05/2021,Northern Ireland,FullyVaccByDate,4642
01/05/2021,Scotland,FullyVaccByDate,33802
01/05/2021,Wales,FullyVaccByDate,4690
02/05/2021,Wales,FullyVaccByDate,1559
02/05/2021,Scotland,FullyVaccByDate,28935
02/05/2021,England,FullyVaccByDate,137400
02/05/2021,Northern Ireland,FullyVaccByDate,4997
03/05/2021,Northern Ireland,FullyVaccByDate,5014
