Date,Nation,Metric,Vaccine
10/02/2021,Scotland,CumFullyVaccByDate,14917
10/02/2021,England,CumFullyVaccByDate,442025
11/02/2021,England,CumFullyVaccByDate,446413
11/02/2021,Scotland,CumFullyVaccByDate,15431
12/02/2021,England,CumFullyVaccByDate,450528
12/02/2021,Scotland,CumFullyVaccByDate,16041
13/02/2021,England,CumFullyVaccByDate,452819
13/02/2021,Scotland,CumFullyVaccByDate,16431
14/02/2021,Scotland,CumFullyVaccByDate,16660
14/02/2021,England,CumFullyVaccByDate,453628
15/02/2021,Scotland,CumFullyVaccByDate,19169
15/02/2021,England,CumFullyVaccByDate,455348
16/02/2021,Scotland,CumFullyVaccByDate,22260
16/02/2021,England,CumFullyVaccByDate,458803
17/02/2021,Scotland,CumFullyVaccByDate,25639
17/02/2021,England,CumFullyVaccByDate,463705
18/02/2021,Scotland,CumFullyVaccByDate,29950
18/02/2021,England,CumFullyVaccByDate,468852
19/02/2021,Scotland,CumFullyVaccByDate,34137
19/02/2021,England,CumFullyVaccByDate,473445
20/02/2021,Scotland,CumFullyVaccByDate,35943
20/02/2021,England,CumFullyVaccByDate,476370
21/02/2021,Scotland,CumFullyVaccByDate,37598
21/02/2021,England,CumFullyVaccByDate,478832
22/02/2021,Scotland,CumFullyVaccByDate,43332
22/02/2021,England,CumFullyVaccByDate,484414
23/02/2021,England,CumFullyVaccByDate,494381
23/02/2021,Scotland,CumFullyVaccByDate,50118
24/02/2021,Scotland,CumFullyVaccByDate,56628
24/02/2021,England,CumFullyVaccByDate,509488
25/02/2021,England,CumFullyVaccByDate,526973
25/02/2021,Scotland,CumFullyVaccByDate,62818
26/02/2021,England,CumFullyVaccByDate,543699
26/02/2021,Scotland,CumFullyVaccByDate,69469
27/02/2021,Scotland,CumFullyVaccByDate,73641
27/02/2021,England,CumFullyVaccByDate,558749
28/02/2021,England,CumFullyVaccByDate,567945
28/02/2021,Scotland,CumFullyVaccByDate,75840
01/03/2021,Scotland,CumFullyVaccByDate,81290
01/03/2021,England,CumFullyVaccByDate,579654
02/03/2021,Scotland,CumFullyVaccByDate,89431
02/03/2021,England,CumFullyVaccByDate,606541
03/03/2021,England,CumFullyVaccByDate,648602
03/03/2021,Scotland,CumFullyVaccByDate,97599
04/03/2021,Scotland,CumFullyVaccByDate,104721
04/03/2021,England,CumFullyVaccByDate,690566
05/03/2021,Scotland,CumFullyVaccByDate,110126
05/03/2021,England,CumFullyVaccByDate,724806
06/03/2021,England,CumFullyVaccByDate,745106
06/03/2021,Scotland,CumFullyVaccByDate,113129
07/03/2021,England,CumFullyVaccByDate,753225
07/03/2021,Scotland,CumFullyVaccByDate,114713
08/03/2021,Scotland,CumFullyVaccByDate,119300
08/03/2021,England,CumFullyVaccByDate,775446
09/03/2021,Scotland,CumFullyVaccByDate,128541
09/03/2021,England,CumFullyVaccByDate,821005
10/03/2021,Scotland,CumFullyVaccByDate,137249
10/03/2021,England,CumFullyVaccByDate,886472
11/03/2021,Scotland,CumFullyVaccByDate,144824
11/03/2021,England,CumFullyVaccByDate,936554
12/03/2021,Scotland,CumFullyVaccByDate,151486
12/03/2021,England,CumFullyVaccByDate,999235
13/03/2021,Scotland,CumFullyVaccByDate,156415
13/03/2021,England,CumFullyVaccByDate,1035464
14/03/2021,England,CumFullyVaccByDate,1048663
14/03/2021,Scotland,CumFullyVaccByDate,158322
15/03/2021,Scotland,CumFullyVaccByDate,165765
15/03/2021,England,CumFullyVaccByDate,1078548
16/03/2021,England,CumFullyVaccByDate,1141328
16/03/2021,Scotland,CumFullyVaccByDate,177167
17/03/2021,Scotland,CumFullyVaccByDate,187581
17/03/2021,England,CumFullyVaccByDate,1228700
18/03/2021,Scotland,CumFullyVaccByDate,197393
18/03/2021,England,CumFullyVaccByDate,1327899
19/03/2021,Scotland,CumFullyVaccByDate,205163
19/03/2021,England,CumFullyVaccByDate,1421251
20/03/2021,England,CumFullyVaccByDate,1488102
20/03/2021,Scotland,CumFullyVaccByDate,217932
21/03/2021,Scotland,CumFullyVaccByDate,220494
21/03/2021,England,CumFullyVaccByDate,1516577
22/03/2021,Scotland,CumFullyVaccByDate,230651
22/03/2021,England,CumFullyVaccByDate,1577684
23/03/2021,Scotland,CumFullyVaccByDate,245598
23/03/2021,England,CumFullyVaccByDate,1707531
24/03/2021,England,CumFullyVaccByDate,1907317
24/03/2021,Scotland,CumFullyVaccByDate,259793
25/03/2021,England,CumFullyVaccByDate,2116324
25/03/2021,Scotland,CumFullyVaccByDate,275535
26/03/2021,England,CumFullyVaccByDate,2326788
26/03/2021,Scotland,CumFullyVaccByDate,289836
27/03/2021,Scotland,CumFullyVaccByDate,316639
27/03/2021,England,CumFullyVaccByDate,2544902
28/03/2021,England,CumFullyVaccByDate,2632458
28/03/2021,Scotland,CumFullyVaccByDate,323011
29/03/2021,Scotland,CumFullyVaccByDate,339433
29/03/2021,England,CumFullyVaccByDate,2756271
30/03/2021,England,CumFullyVaccByDate,2978190
30/03/2021,Scotland,CumFullyVaccByDate,362563
31/03/2021,England,CumFullyVaccByDate,3298351
31/03/2021,Scotland,CumFullyVaccByDate,390200
01/04/2021,Scotland,CumFullyVaccByDate,411983
01/04/2021,England,CumFullyVaccByDate,3684106
02/04/2021,Scotland,CumFullyVaccByDate,427327
02/04/2021,England,CumFullyVaccByDate,3886768
03/04/2021,Scotland,CumFullyVaccByDate,439456
03/04/2021,England,CumFullyVaccByDate,4032886
04/04/2021,England,CumFullyVaccByDate,4068822
04/04/2021,Scotland,CumFullyVaccByDate,443237
05/04/2021,England,CumFullyVaccByDate,4114856
05/04/2021,Scotland,CumFullyVaccByDate,450966
06/04/2021,Scotland,CumFullyVaccByDate,469058
06/04/2021,England,CumFullyVaccByDate,4262585
07/04/2021,England,CumFullyVaccByDate,4616917
07/04/2021,Scotland,CumFullyVaccByDate,493356
08/04/2021,England,CumFullyVaccByDate,4995167
08/04/2021,Scotland,CumFullyVaccByDate,517884
09/04/2021,Scotland,CumFullyVaccByDate,538310
09/04/2021,England,CumFullyVaccByDate,5377500
10/04/2021,England,CumFullyVaccByDate,5800462
10/04/2021,Scotland,CumFullyVaccByDate,568584
11/04/2021,Scotland,CumFullyVaccByDate,577287
11/04/2021,England,CumFullyVaccByDate,5949816
12/04/2021,Scotland,CumFullyVaccByDate,597661
12/04/2021,England,CumFullyVaccByDate,6107324
13/04/2021,England,CumFullyVaccByDate,6326776
13/04/2021,Scotland,CumFullyVaccByDate,622851
14/04/2021,England,CumFullyVaccByDate,6602054
14/04/2021,Scotland,CumFullyVaccByDate,652348
15/04/2021,Scotland,CumFullyVaccByDate,676530
15/04/2021,England,CumFullyVaccByDate,6947279
16/04/2021,Scotland,CumFullyVaccByDate,699523
16/04/2021,England,CumFullyVaccByDate,7369136
17/04/2021,Scotland,CumFullyVaccByDate,727444
17/04/2021,England,CumFullyVaccByDate,7822742
18/04/2021,England,CumFullyVaccByDate,8007403
18/04/2021,Scotland,CumFullyVaccByDate,738163
19/04/2021,Scotland,CumFullyVaccByDate,781491
19/04/2021,England,CumFullyVaccByDate,8197339
20/04/2021,Scotland,CumFullyVaccByDate,831316
20/04/2021,England,CumFullyVaccByDate,8454091
21/04/2021,England,CumFullyVaccByDate,8777956
21/04/2021,Scotland,CumFullyVaccByDate,881283
22/04/2021,England,CumFullyVaccByDate,9112927
22/04/2021,Scotland,CumFullyVaccByDate,927757
23/04/2021,Scotland,CumFullyVaccByDate,965511
23/04/2021,England,CumFullyVaccByDate,9491389
24/04/2021,England,CumFullyVaccByDate,9966827
24/04/2021,Scotland,CumFullyVaccByDate,1012746
25/04/2021,England,CumFullyVaccByDate,10183374
25/04/2021,Scotland,CumFullyVaccByDate,1039393
26/04/2021,Scotland,CumFullyVaccByDate,1075002
26/04/2021,England,CumFullyVaccByDate,10411194
27/04/2021,Scotland,CumFullyVaccByDate,1114264
27/04/2021,England,CumFullyVaccByDate,10708941
28/04/2021,Scotland,CumFullyVaccByDate,1155367
28/04/2021,England,CumFullyVaccByDate,11085143
29/04/2021,England,CumFullyVaccByDate,11470425
29/04/2021,Scotland,CumFullyVaccByDate,1195499
30/04/2021,England,CumFullyVaccByDate,11818208
30/04/2021,Scotland,CumFullyVaccByDate,1232572
01/05/2021,England,CumFullyVaccByDate,12145693
01/05/2021,Scotland,CumFullyVaccByDate,1262123
02/05/2021,England,CumFullyVaccByDate,12277501
02/05/2021,Scotland,CumFullyVaccByDate,1287349
03/05/2021,England,CumFullyVaccByDate,12369855
03/05/2021,Scotland,CumFullyVaccByDate,1308655
04/05/2021,England,CumFullyVaccByDate,12572044
04/05/2021,Scotland,CumFullyVaccByDate,1335257
05/05/2021,Scotland,CumFullyVaccByDate,1362221
05/05/2021,England,CumFullyVaccByDate,12916605
06/05/2021,England,CumFullyVaccByDate,13333578
06/05/2021,Scotland,CumFullyVaccByDate,1385446
07/05/2021,Scotland,CumFullyVaccByDate,1403715
07/05/2021,England,CumFullyVaccByDate,13744032
08/05/2021,England,CumFullyVaccByDate,14145184
08/05/2021,Scotland,CumFullyVaccByDate,1423710
